SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0900, 9, 0.06523298, -0.71177351, -0.68673885, 0.62664974, 0.25707373, -0.62501365, -41.85910416, -11.63402462, -104.64776611, 46.91722107, 4.20997667, -44.93918991, 0.84154481, -0.38049436, 0.12090636, 0.36387932, 0.00830797, -0.01670316, 0.00562683, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0800, 8, -0.05050804, -0.98676854, 0.20564662, -0.11424820, -0.47580647, 0.30628499, -39.05290985, -19.26337242, 103.97544098, 101.73838043, -3.10241008, -0.55393177, 0.63095611, -0.77533108, 0.02083205, -0.01794884, -0.00359425, 0.00892557, -0.00341177, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, 0.06465171, -0.71201646, -0.68710643, 0.87619555, 0.27694666, -0.66169435, -41.85910416, -11.63402462, -104.64776611, 46.92580795, 4.21666050, -44.94175720, 0.84149742, -0.38057435, 0.12089240, 0.36390978, 0.00883099, -0.01643878, 0.00596522, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0900, 9, -0.05176735, -0.98571187, 0.20540674, -0.04412618, -0.45794368, 0.34104538, -38.11750793, -21.22186470, 103.85852051, 101.73822784, -3.10482359, -0.55911613, 0.63095772, -0.77532887, 0.02088043, -0.01793660, -0.00237352, 0.00786992, -0.00317774, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, 0.06490068, -0.71247417, -0.68677098, 0.85825378, 0.31062737, -0.57370907, -41.65448761, -10.66939449, -105.14469147, 46.93426895, 4.22293568, -44.94345856, 0.84145385, -0.38065314, 0.12087824, 0.36393279, 0.00869685, -0.01607634, 0.00574419, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1000, 10, -0.05018186, -0.98593467, 0.20520447, -0.04467637, -0.45995387, 0.41063434, -38.64366913, -19.84799767, 104.41390991, 101.73806000, -3.10791206, -0.56445920, 0.63095933, -0.77532625, 0.02093361, -0.01792805, -0.00400982, 0.00809463, -0.00298071, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, 0.06576449, -0.71319699, -0.68741113, 0.92943066, 0.43099114, -0.69449151, -41.91756821, -9.35398960, -104.64776611, 46.94345856, 4.23091841, -44.94513321, 0.84140521, -0.38074231, 0.12085359, 0.36396009, 0.00795669, -0.01545712, 0.00650851, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1100, 11, -0.05039700, -0.98517889, 0.20378181, -0.04410177, -0.51169211, 0.40961835, -38.67290115, -20.16954041, 105.26161957, 101.73793030, -3.11088490, -0.57030946, 0.63096076, -0.77532387, 0.02098958, -0.01791593, -0.00384727, 0.00734303, -0.00155719, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1200, 12, -0.05088829, -0.98475510, 0.20363118, 0.00845666, -0.47598362, 0.41001609, -38.70213318, -22.09880066, 102.39695740, 101.74218750, -3.10308814, -0.57800806, 0.63093406, -0.77534747, 0.02099809, -0.01782156, -0.00335967, 0.00692260, -0.00139179, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, 0.06756377, -0.71604234, -0.68863225, 0.96522051, 0.39758915, -0.81753224, -41.80064392, -9.67553329, -104.26775360, 46.95293427, 4.23956347, -44.94790268, 0.84135109, -0.38083431, 0.12082854, 0.36399719, 0.00630829, -0.01270984, 0.00785094, 0.00000000, 0.00000000, 0.00000000, 0.00000000
