SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0900, 9, -0.06077657, -0.99575669, 0.18487050, -10.55078602, 2.83118415, 1.66503596, -39.52060699, -20.63723946, 99.94153595, 100.06829834, -2.80562162, 91.55680847, 0.43440378, -0.54564261, -0.53812641, -0.47327316, 0.01197608, 0.01227941, -0.01049771, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.08192610, -0.74904281, -0.67327845, -1.03533816, -7.09739780, 6.15156698, -43.05758667, -10.28938866, -104.15083313, 48.00885773, 4.74696398, 26.08324051, 0.89298952, -0.38743711, -0.12857656, -0.18955293, 0.00147076, 0.00832511, 0.00665855, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1000, 10, -0.06559782, -0.98647946, 0.18255290, -9.69678307, 3.67333531, 1.86809528, -39.52060699, -20.63723946, 99.94153595, 99.96968842, -2.83036804, 91.58980560, 0.43461579, -0.54521042, -0.53777623, -0.47397408, 0.01639082, 0.00271225, -0.00993234, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1100, 11, -0.06120440, -0.98884743, 0.17993918, -8.64792347, 4.41496325, 2.12028933, -39.54983902, -21.07570839, 100.67231750, 99.88124084, -2.85881829, 91.62972260, 0.43473229, -0.54479885, -0.53748530, -0.47467014, 0.01152241, 0.00482878, -0.00890275, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, 0.05558499, -0.74597794, -0.67228627, -2.24615979, -8.15205002, 6.89478922, -43.49605179, -10.08477020, -104.35545349, 47.98511505, 4.64107561, 26.06985092, 0.89304090, -0.38747233, -0.12767375, -0.18984875, 0.02603461, 0.00537516, 0.00531888, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, 0.03817748, -0.74444956, -0.67796075, -3.24381661, -8.82976246, 7.78212070, -43.64220810, -9.73399544, -104.20929718, 47.95149994, 4.52407312, 26.05754089, 0.89311790, -0.38745040, -0.12667200, -0.19020256, 0.04147783, 0.00407198, 0.01050612, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1200, 12, -0.05092507, -0.98796946, 0.17794143, -8.42298508, 4.56539869, 2.47007084, -39.60830307, -22.06957054, 102.83542633, 99.79701996, -2.89049768, 91.67056274, 0.43480840, -0.54441172, -0.53720248, -0.47536412, 0.00071318, 0.00372188, -0.00838447, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, 0.01973996, -0.74471730, -0.68400604, -4.45578480, -9.27124977, 8.67518616, -43.37912750, -10.11400127, -104.20929718, 47.90663528, 4.38073349, 26.04797745, 0.89321423, -0.38738787, -0.12545675, -0.19068199, 0.05769759, 0.00468451, 0.01590838, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, 0.00418767, -0.74040163, -0.68241203, -5.81117201, -9.04854107, 9.09176350, -43.75913239, -9.96784592, -104.06314087, 47.84790421, 4.25266266, 26.04310799, 0.89335620, -0.38718200, -0.12435177, -0.19115821, 0.07080143, 0.00085802, 0.01349384, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, -0.00594527, -0.72636092, -0.68097633, -6.86437654, -8.20825958, 9.20187569, -43.43759155, -10.02630806, -103.94621277, 47.77919006, 4.12951279, 26.04528427, 0.89352155, -0.38688067, -0.12329136, -0.19168156, 0.07874559, -0.01254603, 0.01111352, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 14, -0.01108111, -0.72055566, -0.68283838, -7.34785795, -6.88403988, 9.10577774, -43.43759155, -10.02630806, -103.94621277, 47.70628357, 4.01607513, 26.05669022, 0.89368963, -0.38651764, -0.12232952, -0.19224596, 0.08184031, -0.01761782, 0.01194887, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1500, 15, -0.01063703, -0.71425170, -0.68356031, -7.81329870, -5.61029530, 8.81668663, -44.10990906, -9.58784008, -103.91698456, 47.62924194, 3.91346741, 26.07559776, 0.89386362, -0.38609341, -0.12146915, -0.19283408, 0.07954623, -0.02313431, 0.01161313, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1300, 13, -0.04256535, -0.98803061, 0.17311136, -8.22770214, 4.23313570, 2.77576184, -39.95907593, -20.84185982, 100.81847382, 99.71286011, -2.92498636, 91.70764923, 0.43488571, -0.54405361, -0.53689003, -0.47605607, -0.00823512, 0.00356855, -0.00499916, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1600, 16, -0.00640697, -0.70113683, -0.68170232, -7.83292341, -4.46813822, 8.59147167, -43.96375275, -9.50014591, -103.91698456, 47.54609680, 3.79952335, 26.10764885, 0.89402890, -0.38562942, -0.12055410, -0.19356942, 0.07354017, -0.03541173, 0.00865786, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1400, 14, -0.03881543, -0.99324602, 0.17258358, -7.97709179, 3.80313611, 2.92256546, -39.92984390, -22.01110840, 100.02922821, 99.63140869, -2.96016073, 91.74031067, 0.43496466, -0.54372931, -0.53656423, -0.47672114, -0.01259462, 0.00857362, -0.00589539, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1700, 17, -0.00155832, -0.69747961, -0.68467754, -7.03260994, -3.23128843, 8.16892433, -44.19760132, -10.61093235, -104.03390503, 47.47766495, 3.71793675, 26.13982010, 0.89416069, -0.38521808, -0.11991422, -0.19417632, 0.06693076, -0.03825027, 0.01056494, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1500, 15, -0.04039940, -0.99725491, 0.17126411, -8.32584572, 3.46936202, 2.84840560, -39.92984390, -22.01110840, 100.02922821, 99.54660797, -2.99398899, 91.76983643, 0.43507874, -0.54340178, -0.53621441, -0.47738355, -0.01161426, 0.01237283, -0.00601075, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1600, 16, -0.03626982, -1.00256908, 0.16818000, -8.77838802, 3.17669201, 2.46233177, -39.60830307, -22.62496376, 101.78310394, 99.45738220, -3.02348900, 91.79718781, 0.43524367, -0.54305089, -0.53585267, -0.47803837, -0.01627903, 0.01746414, -0.00444448, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1800, 18, 0.00089005, -0.70586550, -0.69411230, -6.23142529, -2.81432152, 8.53566170, -44.25606537, -10.14323330, -104.47237396, 47.41756439, 3.63655114, 26.17765236, 0.89425415, -0.38486558, -0.11930838, -0.19481719, 0.06307252, -0.02919431, 0.01913406, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1900, 19, -0.00237666, -0.70885044, -0.70440406, -5.85652733, -3.30538797, 8.94325733, -44.25606537, -10.14323330, -104.47237396, 47.36109924, 3.54884553, 26.21480370, 0.89433217, -0.38455445, -0.11865684, -0.19547015, 0.06485806, -0.02559309, 0.02861667, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1700, 17, -0.03930100, -1.00970829, 0.17210273, -9.31772137, 2.72577572, 2.10847044, -39.90061188, -21.07570839, 100.78924561, 99.36508179, -3.04534960, 91.81986237, 0.43547952, -0.54268008, -0.53548622, -0.47865486, -0.01370668, 0.02436169, -0.00995208, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2000, 20, -0.01278345, -0.70804381, -0.70765632, -5.76689672, -3.64552307, 9.05903149, -44.34375763, -9.50014591, -104.20929718, 47.30536270, 3.45801020, 26.25034332, 0.89440775, -0.38425690, -0.11797629, -0.19611984, 0.07369328, -0.02581409, 0.03108978, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2100, 21, -0.02342016, -0.70029569, -0.70269209, -5.58881092, -3.43840361, 8.78169632, -44.31452560, -9.85092068, -104.61853027, 47.23970032, 3.34075093, 26.29656601, 0.89448249, -0.38392180, -0.11710887, -0.19695365, 0.08264238, -0.03295605, 0.02531900, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2200, 22, -0.02930216, -0.69250447, -0.69710857, -5.53629494, -2.66967273, 8.25293255, -43.96375275, -9.99707699, -104.79392242, 47.18627930, 3.26254225, 26.33385277, 0.89455253, -0.38361669, -0.11653484, -0.19756931, 0.08670999, -0.04008883, 0.01886725, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2300, 23, -0.03487266, -0.68983066, -0.69497955, -5.09201145, -1.58938217, 7.51659346, -44.13914108, -9.73399544, -104.85237885, 47.13742065, 3.19714522, 26.37397575, 0.89460909, -0.38332003, -0.11607715, -0.19815770, 0.09105025, -0.04221174, 0.01604065, 0.00000000, 0.00000000, 0.00000000, 0.00000000
