SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0600, 6, 0.00011075, -0.78159183, -0.62128240, 2.26198483, 5.09935617, 2.22467780, -43.37912750, -12.71557999, -103.27389526, 51.76650238, 1.87189376, 24.74575233, 0.88020003, -0.42319375, -0.10788061, -0.18578741, 0.03246037, -0.00338820, 0.00261815, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.00073527, -0.78299665, -0.62015450, 1.78105128, 4.94096947, 2.10391068, -43.40835953, -12.59865570, -102.77696228, 51.78596115, 1.88645518, 24.79748154, 0.88005424, -0.42326903, -0.10821471, -0.18611179, 0.03208997, -0.00221211, 0.00179410, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.00054700, -0.78239131, -0.61978787, 1.53155804, 4.90413809, 2.10539937, -43.40835953, -12.59865570, -102.77696228, 51.80291748, 1.90076017, 24.84894562, 0.87991786, -0.42332557, -0.10854183, -0.18643731, 0.03252827, -0.00299977, 0.00167230, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1100, 11, -0.04448523, -0.99349910, 0.18720946, -0.58550322, -0.83886701, 0.00869386, -40.77754974, -21.39725113, 100.08769226, 97.53530884, -2.83234334, 93.42662811, 0.43825379, -0.52733791, -0.53609979, -0.49238741, -0.00493053, 0.00317669, -0.05711791, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1200, 12, -0.04594794, -0.99497396, 0.18556143, -0.79562384, -0.92745006, -0.07886744, -40.92370605, -20.57877731, 100.70154572, 97.52780914, -2.83035421, 93.41752625, 0.43833718, -0.52734369, -0.53603375, -0.49237901, -0.00344235, 0.00463677, -0.05558523, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, -0.00121642, -0.78044355, -0.62082553, 1.26467812, 4.64577579, 2.01607704, -43.70067215, -12.45249939, -103.09851074, 51.82301331, 1.87335229, 24.88843155, 0.87976027, -0.42349043, -0.10851076, -0.18682426, 0.03435318, -0.00512932, 0.00294428, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, -0.00190552, -0.77835816, -0.61911535, 0.90808731, 4.72726154, 1.93316019, -43.29143524, -12.59865570, -103.12773895, 51.83365250, 1.88787758, 24.93743515, 0.87965107, -0.42350018, -0.10882035, -0.18713588, 0.03475320, -0.00739606, 0.00144930, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, -0.00212083, -0.77829665, -0.61932915, 0.76547325, 4.79422760, 1.77838075, -43.37912750, -12.42326832, -103.27389526, 51.84286880, 1.90402448, 24.98599052, 0.87954891, -0.42349634, -0.10913834, -0.18743922, 0.03523917, -0.00755134, 0.00179690, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, -0.00507067, -0.77774853, -0.62095088, 0.51600319, 4.75747776, 1.74496078, -43.52528381, -13.68021011, -103.50774384, 51.84958649, 1.92019868, 25.03405190, 0.87945676, -0.42347360, -0.10945065, -0.18774101, 0.03847365, -0.00817780, 0.00353363, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, -0.00590813, -0.77630585, -0.61875373, 0.60512233, 4.80987167, 1.62289727, -43.52528381, -13.68021011, -103.50774384, 51.85720825, 1.93764591, 25.08174896, 0.87936258, -0.42345566, -0.10977282, -0.18803430, 0.03960268, -0.00968856, 0.00143906, 0.00000000, 0.00000000, 0.00000000, 0.00000000
